C,kernel,gamma,probability,brier_score
0.1,linear,scale,True,0.17613689166591046
0.1,linear,auto,True,0.17613689166591046
0.1,linear,0.1,True,0.17613689166591046
0.1,linear,1,True,0.17613689166591046
0.1,linear,0.01,True,0.17613689166591046
0.1,rbf,scale,True,0.18203787140024716
0.1,rbf,auto,True,0.18203787140024716
0.1,rbf,0.1,True,0.24973253581900695
0.1,rbf,1,True,0.2500061045856099
0.1,rbf,0.01,True,0.17847583434931025
1,linear,scale,True,0.1767080100349091
1,linear,auto,True,0.1767080100349091
1,linear,0.1,True,0.1767080100349091
1,linear,1,True,0.1767080100349091
1,linear,0.01,True,0.1767080100349091
1,rbf,scale,True,0.18036370421479425
1,rbf,auto,True,0.18036370421667303
1,rbf,0.1,True,0.20088145149303588
1,rbf,1,True,0.25
1,rbf,0.01,True,0.17629999735324295
10,linear,scale,True,0.1767832361173036
10,linear,auto,True,0.1767832361173036
10,linear,0.1,True,0.1767832361173036
10,linear,1,True,0.1767832361173036
10,linear,0.01,True,0.1767832361173036
10,rbf,scale,True,0.2022499815614683
10,rbf,auto,True,0.2022499815614689
10,rbf,0.1,True,0.20495384189893215
10,rbf,1,True,0.25
10,rbf,0.01,True,0.18776483004323796
